id,title,subtitle,authors,language,genre,published_date,page_count
664,The Two of Us,My Life with John Thaw,"[""Sheila Hancock""]",en,"[""Biography"",""Nonfiction"",""Biography"",""Autobiography"",""Autobiography"",""Memoir"",""Biography Memoir"",""European Literature"",""British Literature"",""Media Tie In"",""Tv"",""Plays"",""Theatre""]",2007-01-01,301.0
666,"We're Ready for You, Mr. Grodin","Behind the Scenes at Talk Shows, Movies, and Elsewhere","[""Charles Grodin""]",en,"[""Biography"",""Nonfiction""]",1994,320.0
678,Twice Kissed,,"[""Lisa Jackson""]",en,"[""Romance"",""Romantic Suspense"",""Mystery"",""Romance"",""Suspense"",""Thriller"",""Fiction"",""Contemporary"",""Thriller"",""Mystery Thriller"",""Romance"",""Contemporary Romance"",""Mystery"",""Crime""]",1998,382.0
694,Cemetery Road Intl,A Novel,"[""Greg Iles""]",en,"[""Fiction"",""Mystery"",""Thriller"",""Suspense"",""Thriller"",""Mystery Thriller"",""Audiobook"",""Mystery"",""Crime"",""Adult Fiction"",""Historical"",""Historical Fiction"",""American"",""Southern""]",2019-03-19,752.0
698,The Observatory,A Novel,"[""Emily Grayson""]",en,"[""Fiction"",""Romance"",""Contemporary"",""Adult Fiction"",""Womens Fiction"",""Chick Lit""]",2001-03-06,304.0
700,Vertical Run,,"[""Joseph R. Garber""]",en,"[""Thriller"",""Fiction"",""Mystery"",""Suspense"",""Thriller"",""Mystery Thriller"",""Action"",""Adventure"",""Asian Literature"",""Indonesian Literature"",""Spy Thriller"",""Espionage"",""Mystery"",""Crime""]",1996,305.0
701,With Song,,"[""Dorothy Garlock""]",en,"[""Romance"",""Romance"",""Historical Romance"",""Historical"",""Historical"",""Historical Fiction"",""Fiction"",""Suspense"",""Westerns""]",1999-05-01,480.0
702,"""J"" is for Judgment",,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Mystery"",""Detective"",""Thriller"",""Mystery Thriller"",""Thriller"",""Audiobook"",""Suspense"",""Mystery"",""Murder Mystery"",""Adult""]",1994,376.0
704,The Switch,,"[""Olivia Goldsmith""]",en,"[""Fiction"",""Womens Fiction"",""Chick Lit"",""Romance"",""Humor"",""Contemporary"",""Novels"",""Adult"",""Marriage"",""Adult Fiction""]",1999-01,330.0
707,Rhapsody,A Love Story,"[""Judith Gould""]",en,"[""Romance"",""Fiction"",""Romance"",""Contemporary Romance""]",2000,338.0
708,The Best is Yet to Come,,"[""Judith Gould""]",en,"[""Romance"",""Fiction""]",2003,448.0
709,Stranger at the Crossroads,,"[""Gena Dalton""]",en,"[""Category Romance"",""Love Inspired"",""Romance"",""Christian"",""Romance"",""Christian Romance"",""Christian Fiction""]",2002,250.0
710,The Third Victim,,"[""Lisa Gardner""]",en,"[""Mystery"",""Thriller"",""Suspense"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Romance"",""Romantic Suspense"",""Romance"",""Mystery"",""Murder Mystery"",""Adult""]",2002,358.0
712,The Finishing School,,"[""Gail Godwin""]",en,"[""Fiction"",""Contemporary"",""Literary Fiction"",""Womens Fiction"",""Chick Lit"",""Young Adult"",""Coming Of Age"",""American"",""Southern"",""Modern"",""Book Club""]",1986,387.0
716,The Juror,,"[""George Dawes Green""]",en,"[""Fiction"",""Thriller"",""Mystery"",""Suspense"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Thriller"",""Legal Thriller"",""Novels"",""Anthologies"",""Collections"",""Drama""]",1996,429.0
717,Bait & Switch,,"[""Darlene Gardner""]",en,"[""Romance"",""Romance"",""Contemporary Romance"",""Contemporary"",""Fiction"",""Humor"",""Adult""]",2002,352.0
718,"""A"" is for Alibi",,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Thriller"",""Mystery"",""Detective"",""Audiobook"",""Suspense"",""Adult"",""Mystery"",""Murder Mystery""]",2005-11-01,320.0
719,The Fifth Angel,,"[""Tim Green""]",en,"[""Fiction"",""Mystery"",""Thriller"",""Suspense"",""Thriller"",""Mystery Thriller"",""Thriller"",""Legal Thriller"",""Mystery"",""Crime"",""Audiobook"",""Mystery"",""Detective"",""Environment"",""Green""]",2004-01-01,384.0
720,The Old Contemptibles,A Richard Jury Novel,"[""Martha Grimes""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""European Literature"",""British Literature"",""Thriller"",""Mystery Thriller"",""Mystery"",""Detective"",""Mystery"",""Cozy Mystery"",""Thriller"",""Mystery"",""Murder Mystery"",""Adult""]",2006,359.0
721,The Stone Council,,"[""Jean-Christophe Grange""]",en,"[""Thriller"",""Fiction"",""Mystery"",""Mystery"",""Crime"",""Roman"",""Cultural"",""France"",""Novels"",""Horror"",""Fantasy"",""Thriller"",""Mystery Thriller""]",2002,373.0
722,Vaporetto 13,,"[""Robert Girardi""]",en,"[""Fiction"",""Paranormal"",""Ghosts"",""Cultural"",""Italy"",""Adult"",""Contemporary"",""European Literature"",""Italian Literature""]",1998,197.0
723,Hester's Story,,"[""Adèle Geras""]",en,"[""Fiction"",""Novels"",""Contemporary"",""European Literature"",""British Literature""]",2006-01,472.0
724,An Unwilling Guest,,"[""Grace Livingston Hill""]",en,"[""Romance"",""Christian Fiction"",""Christian"",""Historical"",""Historical Fiction"",""Fiction"",""Romance"",""Christian Romance"",""Adult"",""Inspirational"",""Historical""]",1993-05,298.0
725,The Pelican Brief,,"[""John Grisham""]",en,"[""Fiction"",""Mystery"",""Thriller"",""Mystery"",""Crime"",""Suspense"",""Thriller"",""Legal Thriller"",""Thriller"",""Mystery Thriller"",""Novels"",""Law"",""Adult Fiction""]",1993,421.0
727,The New Breed,,"[""W.E.B. Griffin""]",en,"[""Fiction"",""War"",""Military Fiction"",""Historical"",""Historical Fiction"",""War"",""Adventure"",""Historical"",""Action"",""Novels"",""Thriller"",""Fantasy""]",1988-07-01,384.0
729,A Code For Tomorrow,,"[""John J. Gobbell""]",en,"[""Historical"",""Historical Fiction"",""War"",""World War II"",""Fiction""]",2002-02-18,473.0
730,The End of the Pier,,"[""Martha Grimes""]",en,"[""Mystery"",""Fiction"",""Thriller"",""Thriller"",""Mystery Thriller"",""Mystery"",""Crime"",""Suspense"",""Adult"",""Novels"",""European Literature"",""British Literature""]",1992,229.0
731,Switcheroo,A Novel,"[""Olivia Goldsmith""]",en,"[""Fiction"",""Womens Fiction"",""Chick Lit"",""Romance"",""Humor"",""Contemporary"",""Novels"",""Adult"",""Marriage"",""Adult Fiction""]",1999-09-08,400.0
733,Kissing the Virgin's Mouth,,"[""Donna M. Gershten""]",en,"[""Fiction"",""Contemporary"",""Cultural"",""Latin American"",""Novels""]",2002,267.0
734,Burning Time,,"[""Leslie Glass""]",en,"[""Mystery"",""Thriller"",""Mystery Thriller"",""Fiction"",""Mystery"",""Crime"",""Mystery"",""Detective"",""Thriller"",""Suspense""]",1995,433.0
735,Tropic of Night,,"[""Michael Gruber""]",en,"[""Mystery"",""Thriller"",""Fiction"",""Horror"",""Mystery"",""Crime"",""Suspense"",""Thriller"",""Mystery Thriller"",""Fantasy"",""Paranormal"",""Fantasy"",""Supernatural"",""Fantasy""]",2004-01-27,480.0
737,Murder Gets a Life,A Southern Sisters Mystery,"[""Anne George""]",en,"[""Mystery"",""Mystery"",""Cozy Mystery"",""Fiction"",""Humor"",""American"",""Southern"",""Thriller"",""Mystery Thriller"",""Adult"",""Audiobook"",""Contemporary"",""Mystery"",""Amateur Sleuth""]",1999-06-01,272.0
738,Red Sky at Morning,,"[""Paul Garrison""]",en,"[""Fiction"",""Thriller""]",2001-01-09,421.0
740,A Traitor to Memory,,"[""Elizabeth George""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Thriller"",""Mystery"",""Detective"",""European Literature"",""British Literature"",""Suspense"",""Mystery"",""Murder Mystery"",""Audiobook""]",2002,802.0
741,On the Occasion of My Last Afternoon,,"[""Kaye Gibbons""]",en,"[""Fiction"",""Historical"",""Historical Fiction"",""Military History"",""Civil War"",""American"",""Southern"",""Historical"",""Novels"",""Literature"",""War"",""American History"",""American Civil War"",""Literary Fiction""]",1999,273.0
742,Stealing Time,,"[""Leslie Glass""]",en,"[""Mystery"",""Thriller"",""Mystery Thriller"",""Fiction""]",2000-01-24,382.0
745,Sight Unseen,,"[""Robert Goddard""]",en,"[""Mystery"",""Fiction"",""Thriller"",""Mystery"",""Crime"",""Suspense"",""Thriller"",""Mystery Thriller"",""European Literature"",""British Literature"",""Mystery"",""Detective"",""Adventure"",""Novels""]",2005,441.0
747,Spyder Web,,"[""Tom Grace""]",en,"[""Fiction"",""Thriller"",""Spy Thriller"",""Espionage"",""Mystery"",""Adventure"",""Action"",""Thriller"",""Mystery Thriller""]",2000,448.0
749,The Edge of Nowhere,,"[""Elizabeth George""]",en,"[""Young Adult"",""Mystery"",""Fantasy"",""Paranormal"",""Fantasy"",""Fiction"",""Contemporary"",""Romance"",""Thriller"",""Fantasy"",""Supernatural"",""Young Adult"",""Teen""]",2012,388.0
751,Self Matters,Creating Your Life from the Inside Out,"[""Dr. Phil McGraw""]",en,"[""Self Help"",""Nonfiction"",""Psychology"",""Self Help"",""Personal Development"",""Inspirational"",""Health"",""Education"",""Philosophy"",""How To"",""Relationships""]",2003-05-06,314.0
752,A Sensible Life,,"[""Mary Wesley""]",en,"[""Fiction"",""Historical"",""Historical Fiction"",""Romance"",""European Literature"",""British Literature"",""Literature"",""20th Century"",""Literary Fiction"",""Historical"",""Relationships"",""Contemporary"",""Humor""]",1990,379.0
754,Liberty,,"[""Stephen Coonts""]",en,"[""Fiction"",""Thriller"",""War"",""Military Fiction"",""Adventure"",""Action"",""Spy Thriller"",""Espionage"",""War"",""War"",""Terrorism"",""Audiobook"",""Mystery"",""Crime""]",2003,416.0
755,Extraordinary Powers,,"[""Joseph Finder""]",en,"[""Thriller"",""Fiction"",""Mystery"",""Spy Thriller"",""Espionage"",""Thriller"",""Mystery Thriller"",""Mystery"",""Crime"",""Suspense"",""Pseudoscience"",""Conspiracy Theories"",""Thriller"",""Spy Thriller""]",1999-09-02,512.0
756,Shadows of Sounds,,"[""Alex Gray""]",en,"[""Mystery"",""Crime"",""Fiction"",""Mystery"",""Cultural"",""Scotland"",""Female Authors"",""Thriller""]",2006,317.0
757,Babyface,,"[""Fiona Gibson""]",en,"[""Womens Fiction"",""Chick Lit"",""Fiction"",""European Literature"",""British Literature"",""Romance""]",2004-06-07,308.0
758,The Associate,,"[""John Grisham""]",en,"[""Fiction"",""Thriller"",""Mystery"",""Thriller"",""Legal Thriller"",""Mystery"",""Crime"",""Suspense"",""Law"",""Thriller"",""Mystery Thriller"",""Audiobook"",""Novels""]",2009,483.0
759,Gray Matters,,"[""Andy Gray""]",en,"[""Football""]",2005,279.0
761,Crota,A Novel,"[""Owl Goingback""]",en,"[""Horror"",""Fiction"",""Fantasy"",""Mystery"",""Thriller"",""Holiday"",""Halloween"",""Fantasy"",""Paranormal"",""Folklore"",""Monsters"",""Fantasy"",""Supernatural"",""Audiobook""]",1998,320.0
762,By Order of the President,,"[""W.E.B. Griffin""]",en,"[""Fiction"",""Thriller"",""War"",""Military Fiction"",""Action"",""Adventure"",""Suspense"",""War"",""Spy Thriller"",""Espionage"",""Audiobook"",""Thriller"",""Spy Thriller""]",2005-12-27,624.0
763,The Dying Time,,"[""Thomas S. Gressman""]",en,"[""Science Fiction"",""Fiction""]",2002,278.0
764,Kelly + Victor,,"[""Niall Griffiths""]",en,"[""Fiction"",""Romance"",""Literature""]",2002,343.0
765,For the Sake of Elena,,"[""Elizabeth George""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Mystery"",""Detective"",""Thriller"",""European Literature"",""British Literature"",""Adult"",""Mystery"",""Murder Mystery"",""Suspense""]",1992,490.0
766,The Silent Bride,,"[""Leslie Glass""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""New York"",""Thriller"",""Mystery Thriller""]",2002,388.0
767,Last to Die,,"[""James Grippando""]",en,"[""Fiction"",""Mystery"",""Thriller"",""Mystery"",""Crime"",""Thriller"",""Legal Thriller"",""Suspense"",""Thriller"",""Mystery Thriller"",""Audiobook"",""Law""]",2004-06-29,464.0
769,Ravenheart,,"[""David Gemmell""]",en,"[""Fantasy"",""Fiction"",""Fantasy"",""Epic Fantasy"",""Fantasy"",""Heroic Fantasy"",""Science Fiction Fantasy"",""Adventure"",""Fantasy"",""High Fantasy"",""Epic"",""Fantasy"",""Dark Fantasy"",""Novels""]",2002,427.0
770,The Wah-Wah Diaries,The Making of a Film,"[""Richard E Grant"",""Richard E. Grant""]",en,"[""Nonfiction"",""Biography"",""Biography"",""Autobiography"",""Culture"",""Film"",""Cultural"",""Africa""]",2006,261.0
773,A Suitable Vengeance,,"[""Elizabeth George""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Mystery"",""Detective"",""Thriller"",""European Literature"",""British Literature"",""Mystery"",""Murder Mystery"",""Adult"",""Suspense""]",1992,449.0
774,The Summons,,"[""John Grisham""]",en,"[""Fiction"",""Mystery"",""Thriller"",""Thriller"",""Legal Thriller"",""Suspense"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Law"",""Novels"",""Adult Fiction""]",2003,373.0
775,In Pursuit of the Proper Sinner,,"[""Elizabeth George""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Thriller"",""European Literature"",""British Literature"",""Mystery"",""Detective"",""Mystery"",""Murder Mystery"",""Audiobook"",""Suspense""]",2000,718.0
776,Call After Midnight,,"[""Tess Gerritsen""]",en,"[""Mystery"",""Thriller"",""Mystery"",""Crime"",""Romance"",""Fiction"",""Romance"",""Romantic Suspense"",""Suspense"",""Thriller"",""Mystery Thriller"",""Category Romance"",""Harlequin"",""Contemporary""]",2005,304.0
778,The Appeal,,"[""John Grisham""]",en,"[""Fiction"",""Thriller"",""Mystery"",""Thriller"",""Legal Thriller"",""Mystery"",""Crime"",""Suspense"",""Thriller"",""Mystery Thriller"",""Law"",""Audiobook"",""Adult Fiction""]",2008-11-18,496.0
780,The Promised War,A Thriller,"[""Thomas Greanias""]",en,"[""Fiction"",""Thriller"",""Historical"",""Historical Fiction"",""Mystery"",""Fantasy"",""Religion"",""Action"",""Adventure"",""Science Fiction"",""Time Travel""]",2011-05-31,352.0
781,Well-schooled in Murder,,"[""Elizabeth George""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Thriller"",""Mystery"",""Detective"",""European Literature"",""British Literature"",""Suspense"",""Mystery"",""Murder Mystery"",""Adult""]",2003,462.0
782,Birthday Girls,,"[""Annabel Giles""]",en,"[""Womens Fiction"",""Chick Lit""]",2001,392.0
783,U Is for Undertow,,"[""Sue Grafton""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Mystery"",""Detective"",""Thriller"",""Mystery Thriller"",""Thriller"",""Audiobook"",""Suspense"",""Adult"",""Mystery"",""Murder Mystery""]",2010-11,370.0
