id,thumbnail
237,http://books.google.com/books/content?id=qnYEAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
239,http://books.google.com/books/content?id=gQ_ZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
240,http://books.google.com/books/content?id=2bukPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
241,http://books.google.com/books/content?id=EHiLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
242,http://books.google.com/books/content?id=S-KLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
243,http://books.google.com/books/content?id=h_WiwWfCVwsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
244,http://books.google.com/books/content?id=XicavgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
245,http://books.google.com/books/content?id=xquf_px2NvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
247,http://books.google.com/books/content?id=f7mNGgwWQAYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
248,http://books.google.com/books/content?id=RgJbyKaFtTIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
249,http://books.google.com/books/content?id=tlaKDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
250,http://books.google.com/books/content?id=O7BqNgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
251,http://books.google.com/books/content?id=u9-JPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
252,http://books.google.com/books/content?id=T6TocRxC6ncC&printsec=frontcover&img=1&zoom=1&source=gbs_api
253,http://books.google.com/books/content?id=5rcmoS1v8awC&printsec=frontcover&img=1&zoom=1&source=gbs_api
254,http://books.google.com/books/content?id=Nm7Y7496BikC&printsec=frontcover&img=1&zoom=1&source=gbs_api
255,http://books.google.com/books/content?id=ueEeAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
257,http://books.google.com/books/content?id=wjxTkTbjIK4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
258,http://books.google.com/books/content?id=Ra46PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
259,http://books.google.com/books/content?id=h6tkHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
260,http://books.google.com/books/content?id=QLQPQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
261,http://books.google.com/books/content?id=HltRIQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
263,http://books.google.com/books/content?id=F58sAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
265,http://books.google.com/books/content?id=ViVdMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
266,http://books.google.com/books/content?id=T4m4AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
268,http://books.google.com/books/content?id=BdjZm3ocz6UC&printsec=frontcover&img=1&zoom=1&source=gbs_api
269,http://books.google.com/books/content?id=lAEPHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
270,http://books.google.com/books/content?id=nfhvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
271,http://books.google.com/books/content?id=-34zRQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
275,http://books.google.com/books/content?id=RhhfRAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
277,http://books.google.com/books/content?id=fl3xPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
278,http://books.google.com/books/content?id=qmHPwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
279,http://books.google.com/books/content?id=CD-BPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
280,http://books.google.com/books/content?id=M1sVQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
281,http://books.google.com/books/content?id=_28FAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
283,http://books.google.com/books/content?id=53OSxMdzhm8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
